Domanda,Testo,Stralcio,Repertorio
,,"Non soprende che i bambini con ADHD vengano più spesso rifiutati e siano i meno popolari tra i compagni. Gli insegnanti li valutano negativamente non solo dal punto di vista del profitto, ma soprattutto sotto l'aspetto comportamentale e del rispetto delle regole sociali. La qualità delle loro relazioni non è certo adeguata, sia in contesti strutturati che nel gioco, ",GIUDIZIO
,,"in quanto si osserva un'alta frequenza di comportamenti negativi sia verbali che non verbali, minore interazione con i compagni, bassi livelli di espressione affettiva e maggior ritiro sociale seguito da aggressività.",CONFERMA 
,,"Bisogna precisare che molto spesso i bambini con ADHD con manifestazioni di aggressività non esibiscono intenzionalmente questi comportamenti disturbanti, e sono sinceramente sorpresi degli esiti negativi che scaturiscono dalle loro azioni maldestre",SANCIRE 
,,D'altra parte abbiamo già evidenziato che l'aggressività è frequentemente associata al disturbo ,CONFERMA
,,e può essere in parte responsabile di una maggiore gravità dei disturbi comportamentali.,POSSIBILITA 
,,"I bambini con ADHD vengono descritti dai loro compagni come non cooperativi in situazioni di gruppo, intrusivi e in alcuni casi aggressivi e provocatorI, ",SANCIRE 
,,e per questo rischiano di non beneficiare delle opportunità di socializzazione.,POSSIBILITA 
,,"Barkley et al. , attraverso ricerche sociometriche, hanno constatato che i bambini con ADHD (sottotipi combinato e iperattivo) ricevono più frequentemente valutazioni negative da parte dei compagni, mentre quelli con disattenzione prevalente ricevono meno valutazioni in generale.",VALUTAZIONE
,,"Più comportamenti cooperativi sono stati osservati in contesti strutturati tra compagni, dove i ragazzini con ADHD sono in grado di assumere un ruolo più attivo e collaborante rispetto a quando si trovano in altri contesti. ",SANCIRE 
,,"Quando il loro ruolo è più passivo e non ben definito, i bambini con ADHD diventano maggiormente contestatori e incapaci di comunicare profiquamente con i loro compagni.  ",SANCIRE 
,"Nel periodo prescolare, gli insegnanti e i genitori osservano e riportano che Michele ha un bisogno irrefrenabile di muoversi, cambia spesso gioco o attività perché in breve tempo si annoia con quello che sta facendo. è quindi alla ricerca di novità, di stimolazioni sempre più eccitanti: ha bisogno di cambiare compito perchè c'è stata una veloce saturazione e quindi un abbassamento della motivazione. Il bisogno di fare qualcosa di più divertente è più forte della necessità di rispettare le regole della scuola. Durante i giochi vuole fare a modo suo, quando si sposta verso il bagno o la mensa mette a rischio la sicurezza degli altri bambini perchè vuole arrivare sempre per primo, corre e si muove senza controllo. Gli insegnanti lo sgridano, gli spiegano quali sono le regole e spesso lui le ascolta, sembra sinceramente dispiaciuto per essersi ""comportato male"". Durante la giornata si possono però verificare altri episodi di scarso autocontrollo comportamentale, soprattutto se l'insegnante non sta conducendo un'attività strutturata in cui michele ha un ruolo chiaro e, per lui, divertente. L'eccessiva irrequietezza induce Michele a produrre comportamenti pericolosi per se stesso, perchè non pensa alle conseguenze di quello che fa, mettendosi in pericolo e arrivando ad infortunarsi. Spesso gli insegnanti non sanno più come controllare il suo comportamento: a volte lo riprendono gentilmente, altre volte con punizioni severe, ma l'efficacia di tali interventi si rivela limitata perchè dopo poco tempo perchè michele non riesce a controllare l'impulso di strappare un gioco a un amico, di spingere un altro che ha cercato di superarlo nella salita dello scivolo o di lanciare l'acqua a una compagna perchè voleva fare ""solo uno scherzo"". In sintesi si oserva un irrefrenabile bisogno di soddisfare i propri desideri immediati e una scarsa risposta alle punizioni. ","Nel periodo prescolare, gli insegnanti e i genitori osservano e riportano che Michele ha un bisogno irrefrenabile di muoversi, ",SANCIRE 
,,"cambia spesso gioco o attività perché in breve tempo si annoia con quello che sta facendo è quindi alla ricerca di novità, di stimolazioni sempre più eccitanti: ",CAUSA
,,ha bisogno di cambiare compito perchè c'è stata una veloce saturazione e quindi un abbassamento della motivazione,SPECIFICAZIONE
,,Il bisogno di fare qualcosa di più divertente è più forte della necessità di rispettare le regole della scuola. ,SANCIRE 
,,"Durante i giochi vuole fare a modo suo, quando si sposta verso il bagno o la mensa mette a rischio la sicurezza degli altri bambini ,",SANCIRE 
,,corre e si muove senza controllo perchè vuole arrivare sempre per primo,CAUSA
,,"Gli insegnanti lo sgridano, gli spiegano quali sono le regole e spesso lui le ascolta, sembra sinceramente dispiaciuto per essersi ""comportato male"". ",DESCRIZIONE
,,"Durante la giornata si possono però verificare altri episodi di scarso autocontrollo comportamentale, ",POSSIBILITA 
,,"soprattutto se l'insegnante non sta conducendo un'attività strutturata in cui Michele ha un ruolo chiaro e, per lui, divertente.",SPECIFICAZIONE 
,,"L'eccessiva irrequietezza induce Michele a produrre comportamenti pericolosi per se stesso, perchè non pensa alle conseguenze di quello che fa, mettendosi in pericolo e arrivando ad infortunarsi.",CAUSA
,,Spesso gli insegnanti non sanno più come controllare il suo comportamento: ,SANCIRE 
,,"a volte lo riprendono gentilmente, altre volte con punizioni severe, ",SPECIFICAZIONE 
,,"ma l'efficacia di tali interventi si rivela limitata perchè dopo poco tempo  michele non riesce a controllare l'impulso di strappare un gioco a un amico, di spingere un altro che ha cercato di superarlo nella salita dello scivolo o di lanciare l'acqua a una compagna perchè voleva fare ""solo uno scherzo""",CONFERMA 
,,In sintesi si osserva un irrefrenabile bisogno di soddisfare i propri desideri immediati e una scarsa risposta alle punizioni. ,SANCIRE 
,"Un aspetto molto importante, anche durante gli anni della scuola dell'infanzia, riguarda lo scarso controllo attentivo. Infatti, durante la spiegazione delle consegne per lo svolgimento di attività anche divertenti, il bambino ha uno sguardo sfuggente, che si allontana spesso dall'insegnante, e quindi non riesce ad ascoltare efficaciemente le istruzioni. In seguito, durante lo svolgimento delle attività in gruppo, spesso sembra ""andare in un mondo tutto suo"", ricco di pensieri stimolanti e, per lui, divertenti. ","Un aspetto molto importante, anche durante gli anni della scuola dell'infanzia, riguarda lo scarso controllo attentivo. ",SANCIRE
,,"Infatti, durante la spiegazione delle consegne per lo svolgimento di attività anche divertenti, il bambino ha uno sguardo sfuggente, che si allontana spesso dall'insegnante, e quindi non riesce ad ascoltare efficaciemente le istruzioni.  In seguito, durante lo svolgimento delle attività in gruppo, spesso sembra ""andare in un mondo tutto suo"", ricco di pensieri stimolanti e, per lui, divertenti. ",CONFERMA
,"I contenuti cognitivi sono aderenti alla realtà e c'è una chiara distinzione tra il mondo fantastico e quello reale, ma spesso quello reale è meno eccitante, contiene delle regole e dei tempi da rispettare. Quindi anche la disattenzione è un comportamento problematico alla scuola dell'infanzia, benchè non desti particolari preoccupazioni prima dell'ingresso alla scuola primaria proprio perchè fino a 6 anni non viene attuata una richiesta sistematica di concentrazione e applicazione delle funzioni esecutive.",I contenuti cognitivi sono aderenti alla realtà e c'è una chiara distinzione tra il mondo fantastico e quello reale  ,SANCIRE 
,,"ma spesso quello reale è meno eccitante, contiene delle regole e dei tempi da rispettare",RIDIMENSIONAMENTO 
,,"Quindi anche la disattenzione è un comportamento problematico alla scuola dell'infanzia,",SANCIRE 
,,benchè non desti particolari preoccupazioni prima dell'ingresso alla scuola primaria proprio perchè fino a 6 anni non viene attuata una richiesta sistematica di concentrazione e applicazione delle funzioni esecutive,CAUSA
,"Come anticipato, l'aumento delle richieste da parte degli insegnanti, in coincidenza con l'ingresso nella scuola primaria, determina un parallelo incremento e intreccio di problematiche cognitive e comportamentali. In classe bisogna seguire attività diverse: ascoltare la spiegazione, eseguire gli esercizi, controllarne la correttezza, lavorare in gruppo, rispondere alle domande collettive o individuali. Viene richiesta una notevole dose di flessibilità cognitiva, prontezza, pianificazione delle attività, rispetto dei tempi e abilità sociali. ","Come anticipato, l'aumento delle richieste da parte degli insegnanti, in coincidenza con l'ingresso nella scuola primaria, determina un parallelo incremento e intreccio di problematiche cognitive e comportamentali",CAUSA
,,"In classe bisogna seguire attività diverse: ascoltare la spiegazione, eseguire gli esercizi, controllarne la correttezza, lavorare in gruppo, rispondere alle domande collettive o individuali. Viene richiesta una notevole dose di flessibilità cognitiva, prontezza, pianificazione delle attività, rispetto dei tempi e abilità sociali. ",CONFERMA
,"Alla scuola primaria Michele non riesce a trovare divertenti tutte le proposte che gli vengono fatte: si alza dal banco senza chiedere il permesso, risponde all'insegnante senza aver ottenuto il consenso, dimentica di scrivere i compiti sul diario, continua a far cadere oggetti dal banco distraendo tutta la classe. Viene continuamente richiamato perchè è disordinato, rumoroso, e il suo materiale non è quasi mai in ordine. Quando gli manca qualcosa lo chiede ai compagni, che ormai non ne possono più di prestargli gomme, temperini e matite, quindi si muove nell'aula chiedendo in prestito gli oggetti malgrado l'insegnante gli abbia detto che non può alzarsi quando gli ""salta in mente"". Eppure se si alza dal posto non è mai colpa sua ""è la gomma ad esser sparita, è Lucia che non gli presta la penna"". ","Alla scuola primaria Michele non riesce a trovare divertenti tutte le proposte che gli vengono fatte si alza dal banco senza chiedere il permesso, risponde all'insegnante senza aver ottenuto il consenso, dimentica di scrivere i compiti sul diario, continua a far cadere oggetti dal banco distraendo tutta la classe",DESCRIZIONE
,,"Viene continuamente richiamato perchè è disordinato, rumoroso, e il suo materiale non è quasi mai in ordine",CAUSA
,,"Quando gli manca qualcosa lo chiede ai compagni, che ormai non ne possono più di prestargli gomme, temperini e matite, quindi si muove nell'aula chiedendo in prestito gli oggetti malgrado l'insegnante gli abbia detto che non può alzarsi quando gli ""salta in mente""",DESCRIZIONE
,,"Eppure se si alza dal posto non è mai colpa sua ""è la gomma ad esser sparita, è Lucia che non gli presta la penna"". ",COMMENTO 
,"Le spiegazioni che Michele si dà delle distrazioni son ospesso collegate ad un'attribuzione esterna. Questo stile interpretativo probabilmente gli consente di evitare di autopunirsi per ogni comportamento negativo e autogiustificarsi soprattutto ai propri occhi, prima che a quelli degli altri. ",Le spiegazioni che Michele si dà delle distrazioni sono spesso collegate ad un'attribuzione esterna.,SANCIRE 
,,"Questo stile interpretativo probabilmente gli consente di evitare di autopunirsi per ogni comportamento negativo e autogiustificarsi soprattutto ai propri occhi, prima che a quelli degli altri. ",SANCIRE 
,"Durante lo svolgimento dei compiti per casa e le verifiche in classe, Michele è preoccupato della quantità di esercizi da svolgere, continua a controllare quanto manca alla fine ma non riesce a pianificare l'esecuzione dell'attività. Fatica a compila re una gerarchia di cosa sia più importante e da dove cominciare. Mentre svolge i compiti si distrae, guarda in giro, tende ad alzarsi, pensa ad altre cose per lui più interessanti. Il suo metodo di lavoro è estremamente dispersivo e lo porta a scrivere poco, con una grafia a volte illeggibile e con frequenti errori. Al termine del pomeriggio di compiti o della verifica in classe, MIchele presenta spesso un lavoro incompleto e, soprattutto, non revisionato. Per lui riprendere il compito dall'inizio è qualcosa di veramente fastidioso perchè ormai ha già speso tanto tempo e sforzo per un'attività per nulla divertente, quindi non ha alcuna intenzione di fare la stessa cosa più volte. Eppure gli insegnanti dicono che a volte Michele svolge bene i compiti, facendo pochissimi errori e rispettando i tempi di esecuzione. Questa variabilità di comportamento disorienta gli insegnanti, che non capiscono come mai a volte riesca bene, mentre altre non combini nulla di buono. Analizzando meglio la situazione ci si accorge però che ci sono alcune materie per lui più divertenti, che gli richiedono poco sforzo, che può svolgere in breve tempo e di cui può controllare immediatamente la correttezza (quindi ottenere un rinforzo vedendo concluso il compito e avendone un riscontro immediato). Interesse, brevità, verifica immediata, queste sono alcune condizioni che consentono a Michele di svolgere meglio alcuni compiti.","Durante lo svolgimento dei compiti per casa e le verifiche in classe, Michele è preoccupato della quantità di esercizi da svolgere, continua a controllare quanto manca alla fine ma non riesce a pianificare l'esecuzione dell'attività. Fatica a compilare una gerarchia di cosa sia più importante e da dove cominciare. Mentre svolge i compiti si distrae, guarda in giro, tende ad alzarsi, pensa ad altre cose per lui più interessanti. ",DESCRIZIONE 
,,"Il suo metodo di lavoro è estremamente dispersivo e lo porta a scrivere poco, con una grafia a volte illeggibile e con frequenti errori.",GIUDIZIO 
,,"Al termine del pomeriggio di compiti o della verifica in classe, Michele presenta spesso un lavoro incompleto e, soprattutto, non revisionato",SANCIRE 
,,"Per lui riprendere il compito dall'inizio è qualcosa di veramente fastidioso perchè ormai ha già speso tanto tempo e sforzo per un'attività per nulla divertente, quindi non ha alcuna intenzione di fare la stessa cosa più volte.",CAUSA
,,"Eppure gli insegnanti dicono che a volte Michele svolge bene i compiti, facendo pochissimi errori e rispettando i tempi di esecuzione",RIDIMENSIONAMENTO 
,,"Questa variabilità di comportamento disorienta gli insegnanti, che non capiscono come mai a volte riesca bene, mentre altre non combini nulla di buono",SANCIRE 
,,"Analizzando meglio la situazione ci si accorge però che ci sono alcune materie per lui più divertenti, che gli richiedono poco sforzo, che può svolgere in breve tempo e di cui può controllare immediatamente la correttezza (quindi ottenere un rinforzo vedendo concluso il compito e avendone un riscontro immediato)",RIDIMENSIONAMENTO 
,,"Interesse, brevità, verifica immediata, queste sono alcune condizioni che consentono a Michele di svolgere meglio alcuni compiti.",SANCIRE 
,"L'atteggiamento definito ""immaturo"" sin dalla scuola dell'infanzia continua a caratterizzare Michele agli occhi dei professori della scuola secondaria. Durante le lezioni fa interventi poco opportuni, a volte cerca di fare lo spiritoso, forse per riscattare un'immagine di sè sempre più negativa dal punto di vista scolastico e comportamentale. Michele continua a dimenticare di portare il materiale o di svolgere alcuni compiti a casa; sul diario non scrive tutto quello che deve fare, così aumentano le probabilità di sbagliare o dimenticare. Dal punto di vista motorio sembra che il suo ""motorino"" abbia accelerato il ritmo, più raramente lo si vede correre nei corridoi della scuola, però il suo banco continua ad essere ""un campo di battaglia"". I quaderni sono ancora poco curati e il disordine persiste. Nelle interrogazioni o verifiche scritte sembra che Michele non studi abbastanza, risponde con frasi telegrafiche senza esporre i concetti che l'insegnante ha spiegato qualche giorno prima o che sono scritti in modo semplice sul libro. Manca la capacità di cogliere l'idea centrale, di fare una sintesi organica delle informazioni: queste difficoltà a strtutturare una gerarchia delle informazioni può dipendere dallo scarso sforzo che Michele investe nello studio e dal poco tempo messo a disposizione, ma anche da uno stile cognitivo poco strategico e poco capace di organizzare le informazioni più importanti nella propria memoria semantica.","L'atteggiamento definito ""immaturo"" sin dalla scuola dell'infanzia continua a caratterizzare Michele agli occhi dei professori della scuola secondaria. ",SANCIRE 
,,"Durante le lezioni fa interventi poco opportuni, ",SANCIRE 
,,"a volte cerca di fare lo spiritoso, forse per riscattare un'immagine di sè sempre più negativa dal punto di vista scolastico e comportamentale.",CONFERMA
,,"Michele continua a dimenticare di portare il materiale o di svolgere alcuni compiti a casa; sul diario non scrive tutto quello che deve fare, così aumentano le probabilità di sbagliare o dimenticare",SANCIRE 
,,"Dal punto di vista motorio sembra che il suo ""motorino"" abbia accelerato il ritmo, ",POSSIBILITA 
,,"più raramente lo si vede correre nei corridoi della scuola, però il suo banco continua ad essere ""un campo di battaglia"".",SANCIRE 
,,"Nelle interrogazioni o verifiche scritte sembra che Michele non studi abbastanza, ",POSSIBILITA 
,,risponde con frasi telegrafiche senza esporre i concetti che l'insegnante ha spiegato qualche giorno prima o che sono scritti in modo semplice sul libro,SPECIFICAZIONE
,,"Manca la capacità di cogliere l'idea centrale, di fare una sintesi organica delle informazioni:",SANCIRE 
,,"queste difficoltà a strutturare una gerarchia delle informazioni può dipendere dallo scarso sforzo che Michele investe nello studio e dal poco tempo messo a disposizione, ma anche da uno stile cognitivo poco strategico e poco capace di organizzare le informazioni più importanti nella propria memoria semantica.",POSSIBILITA 
,"Le materie di studio e la produzione dei testi scritti sono le aree più problematiche: quando studia, legge un paio di volte e poi dice di sapere già la lezione per il giorno dopo. Benchè gli sia stato spiegato più volte come dovrebbe studiare e benchè i genitori cerchino di fargli ripetere la lezione per il giorno dopo, la comprensione e la memorizzazzione risultano superficiali e lui espone alcune nozioni in modo poco organico affermando comunque di sapere tutto e bene. Quando deve scrivere un testo, se l'argomento lo coinvolge, scrive tenti pensieri in modo confuso e disordinato, senza un piano e un obiettivo. Se nel titolo non riesce a rintracciare le idee da sviluppare, allora anche al quantità del testo prodotto rimane molto ridotta, così come la valutazione finale. ",Le materie di studio e la produzione dei testi scritti sono le aree più problematiche,DESCRIZIONE
,,"quando studia, legge un paio di volte e poi dice di sapere già la lezione per il giorno dopo",CONFERMA
,,"Benchè gli sia stato spiegato più volte come dovrebbe studiare e benchè i genitori cerchino di fargli ripetere la lezione per il giorno dopo, la comprensione e la memorizzazzione risultano superficiali e lui espone alcune nozioni in modo poco organico affermando comunque di sapere tutto e bene",SANCIRE 
,,"Quando deve scrivere un testo, se l'argomento lo coinvolge, scrive tanti pensieri in modo confuso e disordinato, senza un piano e un obiettivo. Se nel titolo non riesce a rintracciare le idee da sviluppare, allora anche la quantità del testo prodotto rimane molto ridotta, così come la valutazione finale.",CAUSA
,"Dal punto di vista relazionale non ha tanti amici; da quest'anno gioca (anche se si tratta di un preadolescente questo verbo descrive ancora bene il suo modo di stabilire relazioni con i pari) con un altro ragazzino con cui sente una certa affinità. La loro è però una relazione instabile: si cercano al bisogno, spesso bisticciano e non riescono a costruire una profonda amicizia basata sulla fiducia e sul dialogo.",Dal punto di vista relazionale non ha tanti amici; ,SANCIRE 
,,da quest'anno gioca (anche se si tratta di un preadolescente questo verbo descrive ancora bene il suo modo di stabilire relazioni con i pari) con un altro ragazzino con cui sente una certa affinità.  ,SPECIFICAZIONE 
,,La loro è però una relazione instabile:,SANCIRE 
,," si cercano al bisogno, spesso bisticciano e non riescono a costruire una profonda amicizia basata sulla fiducia e sul dialogo.",SPECIFICAZIONE 
,"Agli occhi dei professori Michele si presenta come un ragazzino svoglaito, immaturo, che potrebbe fare di più, che non si impegna mai abbastanza. Uno studente su cui fare poco affidamento, anche se in realtà appare piuttosto sveglio e sporadicamente interessato a certi argomenti. Si fa strada quindi l'errata convinzione che una bocciatura potrebbe rappresentare la soluzione migliore al caso di Michele. ","Agli occhi dei professori Michele si presenta come un ragazzino svoglaito, immaturo, che potrebbe fare di più, che non si impegna mai abbastanza. Uno studente su cui fare poco affidamento ",SANCIRE 
,,anche se in realtà appare piuttosto sveglio e sporadicamente interessato a certi argomenti. ,RIDIMENSIONAMENTO 
,,Si fa strada quindi l'errata convinzione che una bocciatura potrebbe rappresentare la soluzione migliore al caso di Michele. ,POSSIBILITA 
,"Un aspetto molto ricorrente nel comportamento di Michele è la necessità di muoversi senza rispettare i tempi e le regole della scuola, soprattutto quando le attività sono poco strutturate. Quando era piccolo c'era l'emergenza di controllare che non si facesse male; con l'ingresso alla scuola secondaria il controllo motorio è leggermente migliorato, ma l'instabilità comportamentale si è interiorizzata manifestandosi nel disordine con cui gestice il materiale. Gli insegnanti rilevano che MIchele è rimasto un bambino rumoroso, dimentica il materiale scolastico e di scrivere i compiti sul diario, dedica poco tempo allo studio e allo svolgimento dei compiti. Oltre a questo non si trattiene dal dire ogni cosa che gli venga in mente, anche quando non è il suo turno per parlare. Infine continua a evitare il controllo e la revisione del lavoro svolto.","Un aspetto molto ricorrente nel comportamento di Michele è la necessità di muoversi senza rispettare i tempi e le regole della scuola, soprattutto quando le attività sono poco strutturate.",SANCIRE 
,,Quando era piccolo c'era l'emergenza di controllare che non si facesse male; ,SANCIRE
,,"con l'ingresso alla scuola secondaria il controllo motorio è leggermente migliorato,  ",RIDIMENSIONAMENTO 
,,ma l'instabilità comportamentale si è interiorizzata manifestandosi nel disordine con cui gestice il materiale,SANCIRE 
,,"Gli insegnanti rilevano che Michele è rimasto un bambino rumoroso, dimentica il materiale scolastico e di scrivere i compiti sul diario, dedica poco tempo allo studio e allo svolgimento dei compiti. Oltre a questo non si trattiene dal dire ogni cosa che gli venga in mente, anche quando non è il suo turno per parlare. Infine continua a evitare il controllo e la revisione del lavoro svolto.",SANCIRE 
,"Gli aspetti cognitivi maggiormente problematici di Michele riguardano la capacità di mantenere lo sforzo attentivo, soprattutto in assenza di una gratificazione immediata come potrebbe essere la conclusione di un compito, il riscontro positivo dell'insegnante o la possibilità di dire quallo che sa in quel momento.  Dal punto di vista delle funzioni esecutive, Michele fatica a organizzare le conoscenze e a sviluppare piani di lavoro strategici e funzionali al raggiungimento degli scopi didattici. Sembra comunque un ragazzino sveglio e in alcune situazioni riesce a ottenre buoni risultati, che sono sempre condizionati dal tipo di richiesta che riceve. ","Gli aspetti cognitivi maggiormente problematici di Michele riguardano la capacità di mantenere lo sforzo attentivo, ",SANCIRE 
,,"soprattutto in assenza di una gratificazione immediata come potrebbe essere la conclusione di un compito, il riscontro positivo dell'insegnante o la possibilità di dire quello che sa in quel momento",SPECIFICAZIONE 
,,"Dal punto di vista delle funzioni esecutive, Michele fatica a organizzare le conoscenze e a sviluppare piani di lavoro strategici e funzionali al raggiungimento degli scopi didattici. ",SANCIRE 
,,Sembra comunque un ragazzino sveglio,POSSIBILITA 
,,"e in alcune situazioni riesce a ottenere buoni risultati, che sono sempre condizionati dal tipo di richiesta che riceve. ",CAUSA
,"Michele si annoia con grande facilità: a volte passa velocemente da una condizione quasi di eccitazione per la nuova proposta ad altre in cui non è assolutamente motivato a svolgere quello che fanno i suoi compagni. Quando questi lo criticano, a volte reagisce con manifestazioni di rabbia. Crescendo e accorgendosi di essere spesso emarginato, sembra anche un po' triste e pare stia sviluppando un'immagine di sè negativa. Malgrado sembri consapevole delle sue difficoltà, l'attribuzione dei comportamenti negativi è quasi sempre esterna: lui non è mai responsabile in caso di errore. Il tentativo di negare le sue difficoltà non gli consente di attivarsi in modo positivo per migliorarsi, per farsi aiutare, e lo espone maggiormente a problematicità emotive in età successive. ",Michele si annoia con grande facilità:,GIUDIZIO
,,a volte passa velocemente da una condizione quasi di eccitazione per la nuova proposta ad altre in cui non è assolutamente motivato a svolgere quello che fanno i suoi compagni. ,SPECIFICAZIONE 
,,"Quando questi lo criticano, a volte reagisce con manifestazioni di rabbia. ",SANCIRE 
,,"Crescendo e accorgendosi di essere spesso emarginato, sembra anche un po' triste e pare stia sviluppando un'immagine di sè negativa.",POSSIBILITA 
,,"Malgrado sembri consapevole delle sue difficoltà, l'attribuzione dei comportamenti negativi è quasi sempre esterna: ",CONTRAPPOSIZIONE 
,,lui non è mai responsabile in caso di errore.,SPECIFICAZIONE 
,,"Il tentativo di negare le sue difficoltà non gli consente di attivarsi in modo positivo per migliorarsi, per farsi aiutare, e lo espone maggiormente a problematicità emotive in età successive",SANCIRE 
,"Come accennato in precedenza, i rapporti con i compagni sono stati discontinui: michele non riesce a giocare lungo con lo stesso bambino e, volendo fare sempre a modo suo, è stato allontanato dal gruppo. Crescendo ha conosciuto un ragazzino simile a lui, ma con il quale non è riuscito a stabilire un vero rapporto di amicizia. Con gli insegnanti è sempre stato difficile costruire una relazione basata sulla fiducia: è sempre stato sfuggente, poco affidabile e poco sensibile alle punizioni o alle note. ","Come accennato in precedenza, i rapporti con i compagni sono stati discontinui:",SANCIRE 
,,"michele non riesce a giocare lungo con lo stesso bambino e, volendo fare sempre a modo suo, è stato allontanato dal gruppo",SPECIFICAZIONE 
,,"Crescendo ha conosciuto un ragazzino simile a lui, ma con il quale non è riuscito a stabilire un vero rapporto di amicizia",SANCIRE 
,,Con gli insegnanti è sempre stato difficile costruire una relazione basata sulla fiducia:,SANCIRE 
,," è sempre stato sfuggente, poco affidabile e poco sensibile alle punizioni o alle note. ",CONFERMA 
,"Nei confronti dell'ADHD, però, possono essere presenti nei genitori o negli insegnanti alcuni equivoci. Ad esempio, si ritiene che il bambino con ADHD non riesca a prestare attenzione a nulla: non è così, infatti esistono attività, ludiche e coinvolgenti (come i videogiochi, andare in bici o in mini-moto tv, attività all'aria aperta) a cui il soggetto riesce a prestare attenzione anche protratta nel tempo. Come vedremo, sono altre le qualità attentive in cui il bambino è carente. Un secondo equivoco potrebbe essere l'idea che il bambino con ADHD sia sempre distratto e iperattivo. Neppure questo è vero: vi sono momenti, anche se molto ristretti, in cui il soggetto con ADHD è molto attento, ad esempio nel manifestare affetto per i familiari.  ","Nei confronti dell'ADHD, però, possono essere presenti nei genitori o negli insegnanti alcuni equivoci.",POSSIBILITA 
,," Ad esempio, si ritiene che il bambino con ADHD non riesca a prestare attenzione a nulla: non è così,",CONTRAPPOSIZIONE 
,," infatti esistono attività, ludiche e coinvolgenti (come i videogiochi, andare in bici o in mini-moto tv, attività all'aria aperta) a cui il soggetto riesce a prestare attenzione anche protratta nel tempo. ",CONFERMA 
,,Un secondo equivoco potrebbe essere l'idea che il bambino con ADHD sia sempre distratto e iperattivo. Neppure questo è vero: ,CONTRAPPOSIZIONE 
,,"vi sono momenti, anche se molto ristretti, in cui il soggetto con ADHD è molto attento, ad esempio nel manifestare affetto per i familiari.",CONFERMA 
,"I bambini con ADHD sviluppano frequentemente avversione per i compiti scolastici, in quanto attività mentalmente impegnative che richiedono all'alunno di stare fermo e attento per un tempo protratto, attivando, quindi, per motivazioni diverse comportamenti oppositivi e provocatori. Una delle difficoltà in ambito scolastico riferite dagli insegnanti del bambino con ADHD  è quella legata all'organizzazione del materiale di lavoro . Spesso il bambino non ha con sé tutto il materiale necessario alla lezione, perde parte di quello che è stato reperito per lui, disturba i compagni chiedendo con insistenza righello e colori, in generale non ha cura della propria attrezzatura scolastica. Spesso l'interazione tra insegnante e alunno con problemi comportamentali verte per la maggior parte su rimproveri e richiami. Il bambino si abitua a un'interazione negativa con il docente e questo in breve tempo finisce per inquinare la relazione.","I bambini con ADHD sviluppano frequentemente avversione per i compiti scolastici,  in quanto attività mentalmente impegnative che richiedono all'alunno di stare fermo e attento per un tempo protratto, attivando, quindi, per motivazioni diverse comportamenti oppositivi e provocatori. ",VALUTAZIONE
,,Una delle difficoltà in ambito scolastico riferite dagli insegnanti del bambino con ADHD è quella legata all'organizzazione del materiale di lavoro.,SANCIRE 
,,"Spesso il bambino non ha con sé tutto il materiale necessario alla lezione, perde parte di quello che è stato reperito per lui, disturba i compagni chiedendo con insistenza righello e colori, in generale non ha cura della propria attrezzatura scolastica.",DESCRIZIONE
,,Spesso l'interazione tra insegnante e alunno con problemi comportamentali verte per la maggior parte su rimproveri e richiami,SANCIRE 
,,Il bambino si abitua a un'interazione negativa con il docente e questo in breve tempo finisce per inquinare la relazione.,CAUSA
,"A volte alcuni alunni si sono così abituati a ricevere commenti
negativi da provare un certo imbarazzo quando si parla di loro in
modo positivo. Ciò significa che il bambino si è ormai adattato a
un ruolo negativo e tutto ciò che sconferma tale ruolo determina
in lui un certo imbarazzo. Un insegnante potrebbe, ad esempio,
commentare: «Simone, hai lavorato bene su quel disegno» e il
bambino potrebbe rispondere: «Non è niente di speciale, gli altri
lo hanno fatto più bello».",A volte alcuni alunni si sono così abituati a ricevere commenti negativi da provare un certo imbarazzo quando si parla di loro in modo positivo. Ciò significa che il bambino si è ormai adattato a un ruolo negativo e tutto ciò che sconferma tale ruolo determina in lui un certo imbarazzo. ,SANCIRE 
,,"Un insegnante potrebbe, ad esempio, commentare: «Simone, hai lavorato bene su quel disegno» e il bambino potrebbe rispondere: «Non è niente di speciale, gli altri
lo hanno fatto più bello».",SPECIFICAZIONE
